country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,34,54.5,43.8,26,26.3,45.1,48.7,52.9,57.7,59.4,54.2,59,84.4
Argentina,,,,,,,,,1.27,1.04,2.3,1.5,1.3,2.01,4.17,2.56,9.82,8.14,18.6,14.3,14.6,16.4,20.2,15.2,19.7,16.1,12.4,17,27.4,24.7,23.9,22,19.8,11,13.7,15.1,8.22,6.27,9.62,11.4,9.44,11.4,16.9,8.76,8.8,
Australia,,,,,28.9,39.8,30.7,21.4,30.5,25.8,32.9,65.4,81.5,58.3,46.8,34.7,44.4,41.5,65.5,67.8,66.6,77.9,67.9,82.3,110,89.6,98.8,96,125,126,116,146,152,64.8,136,127,85.7,89.6,86.6,87.8,87.8,105,114,88.3,107,129
Austria,3.25,3.49,2.89,28.1,2.81,2.38,2.23,2.12,2.12,2.19,6.63,6.72,6.39,7.52,18.2,15.8,13.9,10.1,13.8,14.2,12.7,13.5,17.3,1.19,15.2,15.2,12.8,15.7,21.6,29.1,39.9,57.3,60.8,17.7,28.4,32.1,19.8,25.9,27.4,21.9,25.2,30.6,36.1,25.7,29.9,30.4
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.0684,0.0703,,,,,,,,,,,,,,,,,,,,,
Belgium,13.7,13.2,12.4,12.4,11.8,7.91,7.99,9.3,12.4,14.8,24.2,31.1,27.9,36.2,45.6,31.9,33.8,27.3,34.7,34.4,35.2,42.6,54.2,94.4,71.3,77.1,70.1,49.4,54.6,74,74.8,97,81.9,32.3,53.8,55.8,43.8,60.4,71.7,70.7,89.7,79.4,87.1,59.1,,
Bangladesh,,,,,,,,,,,,,,,,,,,1.4,3.02,5.08,15.9,5.74,4.06,3.05,4.11,1.81,27.2,,,4.75,5.36,11,12.8,20.4,36.1,37.1,,34.1,39.6,33.6,26.5,29.3,24.1,18.3,24
Bulgaria,,,,,,,,,,,,,,,,,,,0.111,0.498,0.306,0.0456,,0.96,0.752,0.975,0.58,4.4,8.3,10.7,17,30,48.8,16.3,16.6,14.5,14.3,,,,,,,,23.2,25.2
Bahrain,,,,,,,,,,,,,,,,,,,,,,77.2,123,109,108,73.1,73.5,78,86.9,103,109,114,125,77.6,70.9,78,57.7,,,66.1,62,60.2,61.2,57.8,69.5,71.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729,0.946,2.6,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,69.5,54.7,69.3,41.2,43.6,44,40.4,27.4,20.4,23.1,19.5,23.3,22.7,25,27.8,36.5,38.1,33.1,39.9,3.2
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,33.3,24.9,42,49.4,53.2,64.1,98,34.9,80.2,70,47,49.8,41.3,34.4,27.2,42.2,46.3,47.8,63.4,67
Barbados,,,,,,,,,,,,,,,,,,,15.8,23.9,22.2,32.4,45.4,62.2,69,55.8,60.2,,,,,,,,,48.3,98.1,,85.1,57,62.3,63.9,67.1,69.3,63.6,58.7
Botswana,,,,,,,,,,,,,,,,,,,5.5,6.23,8.4,6.77,12.2,15.1,19.2,16.9,,,,,,,,,,,,,,,,,,,,
Canada,,,81.9,81.9,98,104,,65.8,75.4,69.1,80,88.9,93.6,87.7,95.8,76.9,83,77,103,99.3,111,140,154,171,213,104,83.3,117,102,115,126,129,149,66.6,122,134,107,113,114,116,102,130,144,112,138,160
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,2.68,3.95,3.96,7.29,3.99,3.1,2.15,6.09,15.3,,,,,,,,,,,,,,
Switzerland,,,,,,34.9,34.2,33.7,38.5,36.6,75.8,80.9,65.1,65.1,82.1,59.3,70.5,69.4,99.5,94.6,113,118,195,227,228,284,184,198,201,205,224,275,260,155,192,205,152,180,218,206,219,204,243,199,254,270
Chile,,,,,,,,,,,,,,,,,74.3,70.2,91,119,99.3,83.9,84,63.3,90.3,77.1,78.7,70.9,113,118,112,113,123,73.3,134,157,108,117,95.6,89.9,78.5,85.2,107,84.8,73.1,72.6
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,22.9,17.6,41.6,126,38.7,70,66.2,45.2,43.3,41.3,57.3,74,65.2,70.8,45.5,59.6,83.2
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,3.01,0.235,0.568,0.344,,9.3,6.85,2.63,5.85,7.28,7.76,8.86,9.7,16.4,28.9,20.8,18.1,20.5,17.1,,27.6,24,27.3,25.5,23.8,14.4,13.5,11.6
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,34.7,49.4,36.2,60.4,72.8,60.1,70.7,53,38.5,29.3,36.7,39,31.1,40.9,39.4
Costa Rica,,,,,,,,,,,,,,,,,,,3.73,,5.33,6.7,6.52,9.56,16.2,,,,3.01,8.37,7.54,8.28,8.12,6.19,4.78,3.84,3.5,,3.83,4.9,4.17,4.96,4.98,3.85,3.44,3.05
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,3.69,3.47,3.95,5.73,54.4,46.8,,,6.7,,,7.92,6.38,11.4
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,72,28.7,39.6,26.6,10.4,7.99,8.81,17.4,13.6,12,12.3,13,16.5,18.6
Czech Republic,,,,,,,,,,,,,,,,,,,4.26,12.7,15.3,21.1,17.4,15.6,16.2,15.8,12,12.5,15.5,22.4,25.4,28.4,36.2,17.3,,,,,,,,,,,10.4,10.8
